"Scope","ID","Variable / Coefficient","Описание логики на русском","Current / Example Value","Unit / Type","Source","Used In","Owner","Status / Approval","Governance / Change Rule"
"TO-BE","VAR-TIME-001","timeDataConfidenceScore","Оценка доверия к historical time metrics. Нужна, чтобы отличать реальные замеры от оценочных или неполных данных.","","Variable / Reference field","","Time model calibration, coefficient governance","Operations / Analytics","Нужно определить","Использовать только trusted или approved estimated data для пересчета коэффициентов."
"TO-BE","VAR-TIME-002","minimumTimeSampleSize","Минимальное количество исторических наблюдений перед тем, как менять коэффициент времени.","","Variable","","Time coefficient governance","Operations / Finance","Нужно утвердить","Без minimum sample size нельзя автоматически менять production pricing variables."
"TO-BE","VAR-TIME-003","timeEstimateBufferPct","Буфер времени для заказов с низкой уверенностью, сложным access или новым route/location pattern.","","Variable","","Pickup/delivery time model, margin guardrail","CEO / Operations","Нужно утвердить","Должен быть видимым в trace, чтобы не превращаться в скрытую наценку."
"TO-BE","VAR-HND-001","onePersonMaxItemWeightLb","Максимальный вес одного предмета, при котором доставка/пикап потенциально может быть выполнена одним человеком, если нет других hard constraints.","","Variable","","One-person eligibility, crew split","CEO / Operations","Нужно утвердить","Предварительный business anchor из обсуждения: 70 lb; production value утверждается отдельно."
"TO-BE","VAR-HND-002","twoPersonItemWeightThresholdLb","Вес одного предмета, после которого нужен минимум 2-person crew независимо от общего объема заказа.","","Variable","","Min crew by item, labor cost","Operations / Safety","Нужно утвердить","Должен быть safety/operations threshold, не только pricing threshold."
"TO-BE","VAR-HND-003","awkwardItemLengthThresholdIn","Длина/габарит предмета, после которой предмет может требовать 2 человек даже при небольшом весе.","","Variable","","Handling complexity, min crew","Operations","Нужно определить","Нужна калибровка по item catalog и реальным кейсам."
"TO-BE","VAR-HND-004","itemMinimumHandlingMinutes","Минимальное handling time на предмет или группу однотипных предметов, чтобы маленький объем не занизил трудозатраты.","","Variable / Reference field","","Pickup/delivery time, payroll cost","Operations / Finance","Нужно определить","Должно храниться по item class / handling class."
"TO-BE","VAR-HND-005","largeLightItemVolumeThresholdCuFt","Порог большого объема, при котором проверяется исключение: заказ крупный по cu ft, но каждый предмет легкий и может быть доступен для one-person delivery.","","Variable","","Large light item exception, crew split","CEO / Operations","Нужно утвердить","Нельзя использовать один volume threshold без max single item weight."
"TO-BE","VAR-HND-006","itemHandlingScoreThreshold","Порог item handling score, после которого заказ требует helper/2-person crew или risk reserve.","","Variable","","Crew planning, margin guardrail","Operations / Finance","Нужно определить","Score должен быть объяснимым в trace."
"TO-BE","VAR-HND-007","heavyPieceWeightThresholdLb","Порог веса одной физической единицы, после которого piece считается heavy для helper/time logic.","","Variable","","Heavy piece count, helper active minutes","CEO / Operations / Safety","Нужно утвердить","Не смешивать с totalWeight; применяется к unitItemWeight."
"TO-BE","VAR-HND-008","onePersonPieceLimit","Максимальное количество мест, которое можно считать допустимым для one-person service без review.","","Variable","","Large light item exception, one-person eligibility","Operations","Нужно определить","Защищает кейсы, где все предметы легкие, но мест слишком много для одного человека."
"TO-BE","VAR-HND-009","minutesPerPieceByHandlingClass","Минимальные минуты обработки на одно место по handling class: light, standard, awkward, heavy, bulky-light.","","Reference field","","Piece handling time, stage time floor","Operations / Finance","Нужен источник данных","Калибровать по historical time metrics и field feedback."
"TO-BE","VAR-HND-010","helperActiveMinutesPerHeavyPiece","Сколько минут helper нужен на каждый heavy piece до access adjustments.","","Variable / Reference field","","Helper active minutes, payroll cost","Operations","Нужно определить","Может зависеть от weight band, item class, packaging, access."
"TO-BE","VAR-HND-011","partialHelperBillingPolicy","Политика оплаты helper: весь stage, minimum paid time, или только active helper minutes.","","Governance variable","","Labor hours, payroll, price floor","CEO / CFO / Operations","Нужно утвердить","Ключевой управленческий выбор, влияет на себестоимость и цену."
"TO-BE","VAR-HND-012","hardAccessConstraintRule","Набор условий access, при которых один человек запрещен или требуется manual review.","","Rule set","","Hard access crew rule, manual review","Operations / Safety","Нужно утвердить","Например heavy item + stairs/no elevator/long carry/narrow access."
"TO-BE","VAR-HND-013","accessHeavyImpactMinutes","Дополнительные минуты helper/time impact при сочетании heavy item и сложного access.","","Variable / Reference field","","Helper active minutes, stage time","Operations","Нужен источник данных","Хранить по access type и weight band."
"TO-BE","VAR-HND-014","physicalFeasibilityReviewThreshold","Порог габаритов/access mismatch, после которого заказ требует manual review: doorway/elevator/stair turn vs item/crate dimensions.","","Rule set","","Physical access feasibility, manual review","Operations","Нужно определить","Не обязательно price formula, но обязательно guardrail до quote approval."
"TO-BE","VAR-VEH-001","selectedVehicleCargoHeightIn","Внутренняя высота кузова выбранной в заявке машины. Значение берется из Vehicle Dimensions / Cargo Body Specs по selectedVehicle.cargoBodySpecId; например 72 in может быть высотой конкретного Sprinter body, а не универсальным threshold.","","Derived reference value","","Selected vehicle height check, dimensional fit, vehicle revision","Operations","Ready for Formula Sprint","Не hardcode. Всегда читать из справочника выбранной машины и сохранять reference version в snapshot."
"TO-BE","VAR-VEH-002","sideTransportAllowed","Флаг, разрешено ли перевозить конкретный item на боку без неприемлемого риска повреждения.","","Item/reference field","","Side transport review, box truck recommendation","Operations / Broker with approval","Нужно утвердить policy","Должен сохраняться в estimate snapshot вместе с owner/reason."
"TO-BE","VAR-VEH-003","sideTransportApprovalRequired","Флаг, требует ли перевозка на боку отдельного approval перед quote/dispatch.","","Governance variable","","Manual review, snapshot warning","Operations","Нужно утвердить","Для fragile/crate/high-value items лучше default TRUE."
"TO-BE","VAR-VEH-004","cargoInteriorLengthIn","Внутренняя длина кузова/грузового отсека конкретного vehicle.","","Reference field","","Vehicle dimensional fit","Operations","Нужен справочник","Хранить по vehicle type/name/version."
"TO-BE","VAR-VEH-005","cargoInteriorWidthIn","Внутренняя ширина кузова/грузового отсека конкретного vehicle.","","Reference field","","Vehicle dimensional fit","Operations","Нужен справочник","Важно для bulky/wide items and side transport."
"TO-BE","VAR-VEH-006","cargoInteriorHeightIn","Внутренняя высота кузова/грузового отсека конкретного vehicle body. Например 72 in относится к конкретному Sprinter/Cargo body spec.","","Reference field","","Selected vehicle height check, higher body vehicle recommendation, dimensional fit","Operations","Нужен справочник","Критично для tall/oversized items; хранить по vehicle/body spec, не как общий threshold."
"TO-BE","VAR-VEH-007","doorOpeningWidthIn","Ширина дверного проема vehicle, через который item фактически грузится.","","Reference field","","Door opening fit, physical feasibility","Operations","Нужен справочник","Может отличаться от interior width."
"TO-BE","VAR-VEH-008","doorOpeningHeightIn","Высота дверного проема vehicle, через который item фактически грузится.","","Reference field","","Door opening fit, tall item review","Operations","Нужен справочник","Может отличаться от interior height."
"TO-BE","VAR-VEH-009","vehicleEquipmentFlags","Набор equipment flags: ramp, liftGate, tieDown, dolly, blanket, straps.","","Reference field","","Vehicle equipment requirement","Operations","Нужен справочник","Использовать при vehicle eligibility and dispatch planning."
"TO-BE","VAR-CAP-001","selectedVehicleCargoVolumeCuFt","Полезный объем выбранного кузова. Берется из справочника vehicle body specs, а не вводится вручную.","","Derived reference value","","Vehicle utilization, capacity overflow","Operations","Нужен справочник","Изменяется только через versioned vehicle reference."
"TO-BE","VAR-CAP-002","selectedVehiclePayloadLb","Максимальный допустимый payload выбранной машины.","","Derived reference value","","Payload utilization, density","Operations","Нужен справочник","Должен соответствовать фактическому парку/договору."
"TO-BE","VAR-CAP-003","fullRouteCapacityCost","Полная стоимость capacity на interstate route/truck до распределения на заказ.","","Variable / Reference field","","Interstate capacity cost","CEO / Finance","Нужно определить","Изменение требует benchmark preview."
"TO-BE","VAR-CAP-004","interstateCostPerCuFt","Ставка guardrail для расчета interstate по объему.","","Variable","","Legacy dual cost guardrail","CEO / Finance","Нужно утвердить","Не менять без сравнения benchmark cases."
"TO-BE","VAR-CAP-005","interstateCostPerLb","Ставка guardrail для расчета interstate по весу.","","Variable","","Legacy dual cost guardrail","CEO / Finance","Нужно утвердить","Не менять без сравнения benchmark cases."
"TO-BE","VAR-CAP-006","capacityPricingMethod","Переключатель метода: limiting factor, dual max или hybrid guardrail.","","Governance variable","","Interstate pricing","CEO / Product","Нужно выбрать","Меняется только через formula version."
"TO-BE","VAR-TIME-006","loadingCurveVolumeThresholdCuFt","Порог объема в piecewise loading formula; число 80 должно быть управляемой переменной.","","Variable","","Pickup loading minutes","Operations","Нужно утвердить","Источник: historical time calibration."
"TO-BE","VAR-TIME-007","loadingCurveNumerator","Коэффициент 205.57 в первой части loading curve.","","Variable","","Pickup loading minutes","Operations","Нужно утвердить","Источник: historical calibration; менять с benchmark preview."
"TO-BE","VAR-TIME-008","loadingCurveDenominatorOffset","Коэффициент 144.87 в первой части loading curve.","","Variable","","Pickup loading minutes","Operations","Нужно утвердить","Источник: historical calibration; менять с benchmark preview."
"TO-BE","VAR-TIME-009","loadingCurveBaseMinutes","Коэффициент 73.13 во второй части loading curve.","","Variable","","Pickup loading minutes","Operations","Нужно утвердить","Источник: historical calibration; менять с benchmark preview."
"TO-BE","VAR-TIME-010","loadingPostThresholdMinutesPerCuFt","Коэффициент 0.5 минуты за каждый cubic foot сверх порога.","","Variable","","Pickup loading minutes","Operations","Нужно утвердить","Источник: historical calibration; должен быть явно виден."
"TO-BE","VAR-TIME-011","unloadingTimeCoefficient","Коэффициент, показывающий, насколько delivery/unloading быстрее или медленнее pickup/loading.","","Variable","","Delivery unloading minutes","Operations","Нужно утвердить","Не использовать скрытое minLoadingMinutes - 10."
"TO-BE","VAR-ACC-001","freeFloorCount","Количество бесплатных этажей до начала stairs fee.","","Variable","","Billable floors, stairs fee","CEO / Operations","Нужно утвердить","Должно быть одинаково применено к pickup/delivery или разделено по stage."
"TO-BE","VAR-ACC-002","stairsFeePerBillableFloor","Ставка за каждый платный этаж.","","Variable","","Stairs fee","CEO / Operations","Нужно утвердить","Изменение требует preview по apartment cases."
"TO-BE","VAR-ACC-003","extraLaborMinimumHours","Минимальное оплачиваемое время extra labor/helper.","","Variable","","Extra labor cost, helper paid minutes","Operations / Finance","Нужно утвердить","В транскрибе обсуждалось 2 часа."
"TO-BE","VAR-ACC-004","extraLaborHourlyRate","Ставка extra labor за человека в час.","","Variable","","Extra labor cost","Operations / Finance","Нужно утвердить","Может отличаться по market/role."
"TO-BE","VAR-WARN-001","blockingWarningFlag","Флаг, что warning блокирует сохранение estimate до approval.","","Rule set","","Quote can save","Product / Ops","Нужно определить","Каждое blocking rule должно иметь owner и роль approval."
"TO-BE","VAR-MRG-001","minimumContributionMarginRate","Минимальная contribution margin для guardrail.","","Governance variable","","Margin warning, approval","CEO / CFO","Нужно утвердить","Нарушение должно создавать red flag."
"TO-BE","VAR-MRG-002","discountApplicationOrder","Правило порядка применения discount: до margin, после margin или от final price.","","Governance variable","","Discount order guardrail","CEO / CFO","Нужно выбрать","Меняется только через formula version."
"TO-BE","VAR-MRG-003","brokerCommissionRate","Процент комиссии брокера по утвержденному plan.","","Variable / Reference field","","Broker payout, contribution margin","Sales / Finance","Нужно утвердить","Должен зависеть от broker/channel/source."
"TO-BE","VAR-MRG-004","dispatcherPayoutRule","Правило выплаты диспетчеру: fixed, percent, route/stage/KPI model.","","Rule set","","Dispatcher payout","Operations / Finance","Нужно определить","Нужен отдельный compensation reference."
"TO-BE","VAR-RTE-001","zoneMultiplier","Коэффициент для corridor/remote/core zone pricing.","","Variable / Reference field","","Route zone premium","CEO / Operations","Нужно утвердить","Хранить по zone class/effective date."
"TO-BE","VAR-LAB-001","minutesPerCuFt","Базовые минуты handling на 1 cubic foot. Используется только в volumeHandlingMinutes и сравнивается с weightHandlingMinutes через MAX.","","Variable","","LAB-TIME-001, LAB-TIME-003","Operations","Needs Data / Needs Business Approval","Источник: historical time metrics; изменение через benchmark preview."
"TO-BE","VAR-LAB-002","minutesPerLb","Базовые минуты handling на 1 lb. Используется для тяжелых компактных заказов и не суммируется с volume time.","","Variable","","LAB-TIME-002, LAB-TIME-003","Operations","Needs Data / Needs Business Approval","Источник: historical time metrics; изменение через benchmark preview."
"TO-BE","VAR-LAB-003","pickupTimeMultiplier","Коэффициент pickup stage. Отражает, что pickup может занимать больше времени, чем delivery.","","Variable","","LAB-TIME-004, LAB-TIME-006","Operations","Needs Data / Needs Business Approval","Не hardcode; может зависеть от address type."
"TO-BE","VAR-LAB-004","deliveryTimeMultiplier","Коэффициент delivery stage. Delivery обычно быстрее pickup, но значение должно быть управляемым.","","Variable","","LAB-TIME-004, LAB-TIME-007","Operations","Needs Data / Needs Business Approval","Не использовать скрытую формулу minLoadingMinutes - 10."
"TO-BE","VAR-LAB-005","minimumHandlingMinutes","Минимальное расчетное handling time после применения MAX volume/weight сценариев.","","Variable","","LAB-TIME-005","Operations / Finance","Needs Business Approval","40 minutes из задания хранить как draft value до approval."
"TO-BE","VAR-FIT-001","maxItemLength","Максимальная unit length среди items в заказе. Используется для dimensional fit.","","Derived value","","FIT-001","Pricing Engine","Ready for Formula Sprint","Считать по unit dimensions, не по quantity."
"TO-BE","VAR-FIT-002","maxItemWidth","Максимальная unit width среди items в заказе. Используется для dimensional fit.","","Derived value","","FIT-001","Pricing Engine","Ready for Formula Sprint","Считать по unit dimensions, не по quantity."
"TO-BE","VAR-FIT-003","maxItemHeight","Максимальная unit height среди items в заказе. Используется для dimensional fit.","","Derived value","","FIT-001","Pricing Engine","Ready for Formula Sprint","Сравнивать с выбранным vehicleInteriorHeight."
"TO-BE","VAR-FIT-004","vehicleInteriorLength","Внутренняя длина выбранного vehicle/body spec.","","Reference field","","FIT-001","Operations","Needs Data Source","Берется из Vehicle Body Specs reference."
"TO-BE","VAR-FIT-005","vehicleInteriorWidth","Внутренняя ширина выбранного vehicle/body spec.","","Reference field","","FIT-001","Operations","Needs Data Source","Берется из Vehicle Body Specs reference."
"TO-BE","VAR-FIT-006","vehicleInteriorHeight","Внутренняя высота выбранного vehicle/body spec.","","Reference field","","FIT-001","Operations","Needs Data Source","72 in является примером параметра конкретного vehicle, не global threshold."
"TO-BE","VAR-WARN-002","warningSeverity","Severity warning rule: informational, approval, blocking.","","Rule set field","","WARNING_ENGINE","Product / Operations","Needs Business Approval","Хранить в Warning Rules Reference."
"TO-BE","VAR-WARN-003","managerApprovalRequired","Флаг, что quote требует manager approval из-за blocking/approval warning.","","Derived value","","WARN-007, quote save logic","Product / Operations","Needs Business Approval","Должен попадать в snapshot и approval trail."
