"ID","Переменная / справочник","Описание логики на русском","Тип","Где используется","Владелец","Статус","Правило governance"
"VAR-TBE-001","roundingIncrement","Шаг округления final customer price. Нужен, чтобы клиент видел аккуратную цену без случайных cents.","Variable","Final customer price","CEO / Finance","Нужно утвердить","Изменение требует benchmark preview и новой версии."
"VAR-TBE-002","marginRate","Target margin rate. Определяет прибыльность после internal cost base и должен управляться CEO/CFO.","Variable","Margin application","CEO / CFO","Нужно утвердить","Ключевая коммерческая переменная; менять только с approval."
"VAR-TBE-003","brokerFeeRate","Broker fee rate. Должен иметь утвержденное место в price build order относительно margin и discount.","Variable","Broker fee / final price","CEO / CFO","Нужно утвердить","Нужно утвердить место применения относительно margin/discount."
"VAR-TBE-004","directFixedFee","Fixed component direct/specific-date fee. Добавляется, когда service нарушает consolidated route economics.","Variable","Direct / specific date","CEO / Operations","Нужно утвердить","$300 из транскриба считать примером до approval."
"VAR-TBE-005","directMileageFee","Mileage component direct/specific-date fee. Умножается на exact/recalculated miles для direct service.","Variable","Direct / specific date","CEO / Operations","Нужно утвердить","$2/mile из транскриба считать примером до approval."
"VAR-TBE-006","remoteZoneCoefficient","Remote zone coefficient или premium. Компенсирует высокую road cost для удаленных зон.","Variable","Remote/corridor zones","CEO / Operations","Нужно утвердить","1.5 из транскриба считать примером до data validation."
"VAR-TBE-007","bulkyVolumeThreshold","Bulky/moving threshold. Запускает premium или manual review для больших shipment, например 250+ cu ft.","Variable","Bulky/moving premium","CEO / Operations","Нужно утвердить","250+ cu ft обсуждалось как threshold."
"VAR-TBE-008","pickupTimeCoefficients","Набор коэффициентов pickup time model: base time, minutes per item/cu ft/lb, access/heavy impacts.","Variable set","Pickup labor","Operations","Нужны данные","Коэффициенты брать из фактических time metrics."
"VAR-TBE-009","deliveryTimeCoefficients","Набор коэффициентов delivery time model. Должен быть отдельным от pickup, потому что delivery обычно быстрее.","Variable set","Delivery labor","Operations","Нужны данные","Не копировать pickup coefficients без approval."
"VAR-TBE-010","crateMaterialPrice","Crate material price reference. Используется в формуле surface area x material price.","Reference","Custom crate","Operations / Purchasing","Нужен источник данных","Approved material/vendor price table."
"VAR-TBE-011","crateWasteCoefficient","Crate waste coefficient. Учитывает cuts, waste and operational loss при изготовлении crate.","Variable","Custom crate","Operations","Нужно утвердить","Подтвердить с мастерами."
"VAR-TBE-012","storageRate","Storage rate. Участвует в storage cost и должен сохранять совместимость со старыми snapshots.","Variable","Storage","Finance / Operations","Сохраняем compatibility","Изменения не должны пересчитывать old snapshots."
"VAR-TBE-013","fvpRate / fvpFixedFee","FVP rate and fixed fee. Считает protection по declared value, fixed fee применяется once per order.","Variable","FVP protection","CEO / Legal / Finance","Нужно утвердить","Fixed fee once per order, declared value rate."
"VAR-TBE-014","managementFee","Management fee variable. Нужно утвердить, применяется ли per order, per stage или иначе.","Variable","Final price / service fees","CEO / Finance","Нужно утвердить","Определить per order или per stage."
"VAR-TBE-015","hourlyWageByRole","Ставка оплаты по роли/филиалу. Используется для crew base pay и fully loaded labor cost.","Reference","Crew payroll","Operations / Finance","Нужен справочник","Хранить role, branch, hourly wage, effective date."
"VAR-TBE-016","overtimeMultiplier","Множитель overtime для расчета повышенной оплаты сверх threshold.","Variable","Crew overtime pay","Finance","Нужно утвердить","Определить threshold and multiplier."
"VAR-TBE-017","payrollBurdenRate","Процент payroll burden: taxes, insurance, benefits, admin load.","Variable","Fully loaded labor cost","CFO","Нужно утвердить","Ключевой CFO coefficient для маржинальности."
"VAR-TBE-018","brokerCommissionRate","Процент выплаты broker от утвержденной commission base.","Variable","Broker payout","CFO / Sales","Нужно утвердить","Может зависеть от broker/channel/order source."
"VAR-TBE-019","dispatcherPayoutRate","Ставка выплаты dispatcher: per order, процент или гибрид.","Variable","Dispatcher payout","CFO / Operations","Нужно утвердить","Нужно определить payout model."
"VAR-TBE-020","minContributionMarginPct","Минимальная допустимая contribution margin после всех payouts/costs.","Variable","Margin guardrail / price floor","CEO / CFO","Нужно утвердить","Главный blocker для underpricing."
"VAR-TBE-021","overheadAllocationRate","Коэффициент распределения overhead на заказ для fully loaded cost.","Variable","Fully loaded cost","CFO","Нужно решить","Можно использовать только для audit, не обязательно для quote price."
"VAR-TBE-022","routeCapacityRate","Стоимость единицы зарезервированной capacity на route.","Variable","Capacity opportunity cost","Operations / CFO","Нужно определить","Нужна методика route capacity economics."
"VAR-TBE-023","bulkyPremiumMultiplier","Множитель premium для orders, которые занимают много route capacity.","Variable","Bulky capacity premium","CEO / Operations","Нужно утвердить","Защищает margin on moving/bulky orders."
"VAR-TBE-024","locationTypeTimeMultiplier","Коэффициент времени для типа точки. Например, apartment или auction могут требовать больше времени, warehouse может быть быстрее за счет dock/loading process.","Variable / Reference field","Pickup/delivery time model, labor cost","Operations / Finance","Нужно утвердить","Должен храниться в Location / Address Types reference и пересматриваться по historical time metrics."
"VAR-TBE-025","locationTypeFixedMinutes","Фиксированные минуты, которые добавляются к stage time из-за типа точки: check-in, parking, dock coordination, building access, auction release.","Variable / Reference field","Pickup/delivery time model","Operations","Нужно утвердить","Менять только через reference versioning и benchmark preview."
"VAR-TBE-026","locationTypeCrewImpact","Изменение рекомендуемой crew size из-за типа точки. Не заменяет manual crew override, а дает default planning signal.","Variable / Reference field","Crew split, labor cost, capacity planning","Operations","Нужно утвердить","Manual override должен сохраняться в snapshot."
"VAR-TBE-027","parkingLoadingComplexityMinutes","Минуты или коэффициент ожидания/сложности для парковки, loading dock, building access и похожих ограничений точки.","Variable / Reference field","Access effort, pickup/delivery time","Operations","Нужно определить","Нужны реальные historical time metrics по типам точки."
"VAR-TBE-028","warehouseEfficiencyFactor","Коэффициент ускорения обработки для warehouse/business точек, где есть организованная loading зона или dock.","Variable / Reference field","Pickup/delivery time, labor cost","Operations / Finance","Нужно утвердить","Не применять автоматически, если warehouse фактически без dock/access advantage."
"VAR-TBE-029","auctionHandlingMinutes","Дополнительные минуты для auction точки: release process, waiting, paperwork, restricted loading windows.","Variable / Reference field","Pickup/delivery time, special handling","Operations","Нужно определить","Высокий риск underpricing без отдельного коэффициента."
"VAR-TIME-001","timeDataConfidenceScore","Оценка доверия к historical time metrics. Нужна, чтобы отличать реальные замеры от оценочных или неполных данных.","Variable / Reference field","Time model calibration, coefficient governance","Operations / Analytics","Нужно определить","Использовать только trusted или approved estimated data для пересчета коэффициентов."
"VAR-TIME-002","minimumTimeSampleSize","Минимальное количество исторических наблюдений перед тем, как менять коэффициент времени.","Variable","Time coefficient governance","Operations / Finance","Нужно утвердить","Без minimum sample size нельзя автоматически менять production pricing variables."
"VAR-TIME-003","timeEstimateBufferPct","Буфер времени для заказов с низкой уверенностью, сложным access или новым route/location pattern.","Variable","Pickup/delivery time model, margin guardrail","CEO / Operations","Нужно утвердить","Должен быть видимым в trace, чтобы не превращаться в скрытую наценку."
"VAR-HND-001","onePersonMaxItemWeightLb","Максимальный вес одного предмета, при котором доставка/пикап потенциально может быть выполнена одним человеком, если нет других hard constraints.","Variable","One-person eligibility, crew split","CEO / Operations","Нужно утвердить","Предварительный business anchor из обсуждения: 70 lb; production value утверждается отдельно."
"VAR-HND-002","twoPersonItemWeightThresholdLb","Вес одного предмета, после которого нужен минимум 2-person crew независимо от общего объема заказа.","Variable","Min crew by item, labor cost","Operations / Safety","Нужно утвердить","Должен быть safety/operations threshold, не только pricing threshold."
"VAR-HND-003","awkwardItemLengthThresholdIn","Длина/габарит предмета, после которой предмет может требовать 2 человек даже при небольшом весе.","Variable","Handling complexity, min crew","Operations","Нужно определить","Нужна калибровка по item catalog и реальным кейсам."
"VAR-HND-004","itemMinimumHandlingMinutes","Минимальное handling time на предмет или группу однотипных предметов, чтобы маленький объем не занизил трудозатраты.","Variable / Reference field","Pickup/delivery time, payroll cost","Operations / Finance","Нужно определить","Должно храниться по item class / handling class."
"VAR-HND-005","largeLightItemVolumeThresholdCuFt","Порог большого объема, при котором проверяется исключение: заказ крупный по cu ft, но каждый предмет легкий и может быть доступен для one-person delivery.","Variable","Large light item exception, crew split","CEO / Operations","Нужно утвердить","Нельзя использовать один volume threshold без max single item weight."
"VAR-HND-006","itemHandlingScoreThreshold","Порог item handling score, после которого заказ требует helper/2-person crew или risk reserve.","Variable","Crew planning, margin guardrail","Operations / Finance","Нужно определить","Score должен быть объяснимым в trace."
"VAR-HND-007","heavyPieceWeightThresholdLb","Порог веса одной физической единицы, после которого piece считается heavy для helper/time logic.","Variable","Heavy piece count, helper active minutes","CEO / Operations / Safety","Нужно утвердить","Не смешивать с totalWeight; применяется к unitItemWeight."
"VAR-HND-008","onePersonPieceLimit","Максимальное количество мест, которое можно считать допустимым для one-person service без review.","Variable","Large light item exception, one-person eligibility","Operations","Нужно определить","Защищает кейсы, где все предметы легкие, но мест слишком много для одного человека."
"VAR-HND-009","minutesPerPieceByHandlingClass","Минимальные минуты обработки на одно место по handling class: light, standard, awkward, heavy, bulky-light.","Reference field","Piece handling time, stage time floor","Operations / Finance","Нужен источник данных","Калибровать по historical time metrics и field feedback."
"VAR-HND-010","helperActiveMinutesPerHeavyPiece","Сколько минут helper нужен на каждый heavy piece до access adjustments.","Variable / Reference field","Helper active minutes, payroll cost","Operations","Нужно определить","Может зависеть от weight band, item class, packaging, access."
"VAR-HND-011","partialHelperBillingPolicy","Политика оплаты helper: весь stage, minimum paid time, или только active helper minutes.","Governance variable","Labor hours, payroll, price floor","CEO / CFO / Operations","Нужно утвердить","Ключевой управленческий выбор, влияет на себестоимость и цену."
"VAR-HND-012","hardAccessConstraintRule","Набор условий access, при которых один человек запрещен или требуется manual review.","Rule set","Hard access crew rule, manual review","Operations / Safety","Нужно утвердить","Например heavy item + stairs/no elevator/long carry/narrow access."
"VAR-HND-013","accessHeavyImpactMinutes","Дополнительные минуты helper/time impact при сочетании heavy item и сложного access.","Variable / Reference field","Helper active minutes, stage time","Operations","Нужен источник данных","Хранить по access type и weight band."
"VAR-HND-014","physicalFeasibilityReviewThreshold","Порог габаритов/access mismatch, после которого заказ требует manual review: doorway/elevator/stair turn vs item/crate dimensions.","Rule set","Physical access feasibility, manual review","Operations","Нужно определить","Не обязательно price formula, но обязательно guardrail до quote approval."
"VAR-VEH-001","selectedVehicleCargoHeightIn","Внутренняя высота кузова выбранной в заявке машины. Значение берется из Vehicle Dimensions / Cargo Body Specs по selectedVehicle.cargoBodySpecId; например 72 in может быть высотой конкретного Sprinter body, а не универсальным threshold.","Derived reference value","Selected vehicle height check, dimensional fit, vehicle revision","Operations","Ready for Formula Sprint","Не hardcode. Всегда читать из справочника выбранной машины и сохранять reference version в snapshot."
"VAR-VEH-002","sideTransportAllowed","Флаг, разрешено ли перевозить конкретный item на боку без неприемлемого риска повреждения.","Item/reference field","Side transport review, box truck recommendation","Operations / Broker with approval","Нужно утвердить policy","Должен сохраняться в estimate snapshot вместе с owner/reason."
"VAR-VEH-003","sideTransportApprovalRequired","Флаг, требует ли перевозка на боку отдельного approval перед quote/dispatch.","Governance variable","Manual review, snapshot warning","Operations","Нужно утвердить","Для fragile/crate/high-value items лучше default TRUE."
"VAR-VEH-004","cargoInteriorLengthIn","Внутренняя длина кузова/грузового отсека конкретного vehicle.","Reference field","Vehicle dimensional fit","Operations","Нужен справочник","Хранить по vehicle type/name/version."
"VAR-VEH-005","cargoInteriorWidthIn","Внутренняя ширина кузова/грузового отсека конкретного vehicle.","Reference field","Vehicle dimensional fit","Operations","Нужен справочник","Важно для bulky/wide items and side transport."
"VAR-VEH-006","cargoInteriorHeightIn","Внутренняя высота кузова/грузового отсека конкретного vehicle body. Например 72 in относится к конкретному Sprinter/Cargo body spec.","Reference field","Selected vehicle height check, higher body vehicle recommendation, dimensional fit","Operations","Нужен справочник","Критично для tall/oversized items; хранить по vehicle/body spec, не как общий threshold."
"VAR-VEH-007","doorOpeningWidthIn","Ширина дверного проема vehicle, через который item фактически грузится.","Reference field","Door opening fit, physical feasibility","Operations","Нужен справочник","Может отличаться от interior width."
"VAR-VEH-008","doorOpeningHeightIn","Высота дверного проема vehicle, через который item фактически грузится.","Reference field","Door opening fit, tall item review","Operations","Нужен справочник","Может отличаться от interior height."
"VAR-VEH-009","vehicleEquipmentFlags","Набор equipment flags: ramp, liftGate, tieDown, dolly, blanket, straps.","Reference field","Vehicle equipment requirement","Operations","Нужен справочник","Использовать при vehicle eligibility and dispatch planning."
"VAR-CAP-001","selectedVehicleCargoVolumeCuFt","Полезный объем выбранного кузова. Берется из справочника vehicle body specs, а не вводится вручную.","Derived reference value","Vehicle utilization, capacity overflow","Operations","Нужен справочник","Изменяется только через versioned vehicle reference."
"VAR-CAP-002","selectedVehiclePayloadLb","Максимальный допустимый payload выбранной машины.","Derived reference value","Payload utilization, density","Operations","Нужен справочник","Должен соответствовать фактическому парку/договору."
"VAR-CAP-003","fullRouteCapacityCost","Полная стоимость capacity на interstate route/truck до распределения на заказ.","Variable / Reference field","Interstate capacity cost","CEO / Finance","Нужно определить","Изменение требует benchmark preview."
"VAR-CAP-004","interstateCostPerCuFt","Ставка guardrail для расчета interstate по объему.","Variable","Legacy dual cost guardrail","CEO / Finance","Нужно утвердить","Не менять без сравнения benchmark cases."
"VAR-CAP-005","interstateCostPerLb","Ставка guardrail для расчета interstate по весу.","Variable","Legacy dual cost guardrail","CEO / Finance","Нужно утвердить","Не менять без сравнения benchmark cases."
"VAR-CAP-006","capacityPricingMethod","Переключатель метода: limiting factor, dual max или hybrid guardrail.","Governance variable","Interstate pricing","CEO / Product","Нужно выбрать","Меняется только через formula version."
"VAR-TIME-006","loadingCurveVolumeThresholdCuFt","Порог объема в piecewise loading formula; число 80 должно быть управляемой переменной.","Variable","Pickup loading minutes","Operations","Нужно утвердить","Источник: historical time calibration."
"VAR-TIME-007","loadingCurveNumerator","Коэффициент 205.57 в первой части loading curve.","Variable","Pickup loading minutes","Operations","Нужно утвердить","Источник: historical calibration; менять с benchmark preview."
"VAR-TIME-008","loadingCurveDenominatorOffset","Коэффициент 144.87 в первой части loading curve.","Variable","Pickup loading minutes","Operations","Нужно утвердить","Источник: historical calibration; менять с benchmark preview."
"VAR-TIME-009","loadingCurveBaseMinutes","Коэффициент 73.13 во второй части loading curve.","Variable","Pickup loading minutes","Operations","Нужно утвердить","Источник: historical calibration; менять с benchmark preview."
"VAR-TIME-010","loadingPostThresholdMinutesPerCuFt","Коэффициент 0.5 минуты за каждый cubic foot сверх порога.","Variable","Pickup loading minutes","Operations","Нужно утвердить","Источник: historical calibration; должен быть явно виден."
"VAR-TIME-011","unloadingTimeCoefficient","Коэффициент, показывающий, насколько delivery/unloading быстрее или медленнее pickup/loading.","Variable","Delivery unloading minutes","Operations","Нужно утвердить","Не использовать скрытое minLoadingMinutes - 10."
"VAR-ACC-001","freeFloorCount","Количество бесплатных этажей до начала stairs fee.","Variable","Billable floors, stairs fee","CEO / Operations","Нужно утвердить","Должно быть одинаково применено к pickup/delivery или разделено по stage."
"VAR-ACC-002","stairsFeePerBillableFloor","Ставка за каждый платный этаж.","Variable","Stairs fee","CEO / Operations","Нужно утвердить","Изменение требует preview по apartment cases."
"VAR-ACC-003","extraLaborMinimumHours","Минимальное оплачиваемое время extra labor/helper.","Variable","Extra labor cost, helper paid minutes","Operations / Finance","Нужно утвердить","В транскрибе обсуждалось 2 часа."
"VAR-ACC-004","extraLaborHourlyRate","Ставка extra labor за человека в час.","Variable","Extra labor cost","Operations / Finance","Нужно утвердить","Может отличаться по market/role."
"VAR-WARN-001","blockingWarningFlag","Флаг, что warning блокирует сохранение estimate до approval.","Rule set","Quote can save","Product / Ops","Нужно определить","Каждое blocking rule должно иметь owner и роль approval."
"VAR-MRG-001","minimumContributionMarginRate","Минимальная contribution margin для guardrail.","Governance variable","Margin warning, approval","CEO / CFO","Нужно утвердить","Нарушение должно создавать red flag."
"VAR-MRG-002","discountApplicationOrder","Правило порядка применения discount: до margin, после margin или от final price.","Governance variable","Discount order guardrail","CEO / CFO","Нужно выбрать","Меняется только через formula version."
"VAR-MRG-003","brokerCommissionRate","Процент комиссии брокера по утвержденному plan.","Variable / Reference field","Broker payout, contribution margin","Sales / Finance","Нужно утвердить","Должен зависеть от broker/channel/source."
"VAR-MRG-004","dispatcherPayoutRule","Правило выплаты диспетчеру: fixed, percent, route/stage/KPI model.","Rule set","Dispatcher payout","Operations / Finance","Нужно определить","Нужен отдельный compensation reference."
"VAR-RTE-001","zoneMultiplier","Коэффициент для corridor/remote/core zone pricing.","Variable / Reference field","Route zone premium","CEO / Operations","Нужно утвердить","Хранить по zone class/effective date."
"VAR-LAB-001","minutesPerCuFt","Базовые минуты handling на 1 cubic foot. Используется только в volumeHandlingMinutes и сравнивается с weightHandlingMinutes через MAX.","Variable","LAB-TIME-001, LAB-TIME-003","Operations","Needs Data / Needs Business Approval","Источник: historical time metrics; изменение через benchmark preview."
"VAR-LAB-002","minutesPerLb","Базовые минуты handling на 1 lb. Используется для тяжелых компактных заказов и не суммируется с volume time.","Variable","LAB-TIME-002, LAB-TIME-003","Operations","Needs Data / Needs Business Approval","Источник: historical time metrics; изменение через benchmark preview."
"VAR-LAB-003","pickupTimeMultiplier","Коэффициент pickup stage. Отражает, что pickup может занимать больше времени, чем delivery.","Variable","LAB-TIME-004, LAB-TIME-006","Operations","Needs Data / Needs Business Approval","Не hardcode; может зависеть от address type."
"VAR-LAB-004","deliveryTimeMultiplier","Коэффициент delivery stage. Delivery обычно быстрее pickup, но значение должно быть управляемым.","Variable","LAB-TIME-004, LAB-TIME-007","Operations","Needs Data / Needs Business Approval","Не использовать скрытую формулу minLoadingMinutes - 10."
"VAR-LAB-005","minimumHandlingMinutes","Минимальное расчетное handling time после применения MAX volume/weight сценариев.","Variable","LAB-TIME-005","Operations / Finance","Needs Business Approval","40 minutes из задания хранить как draft value до approval."
"VAR-FIT-001","maxItemLength","Максимальная unit length среди items в заказе. Используется для dimensional fit.","Derived value","FIT-001","Pricing Engine","Ready for Formula Sprint","Считать по unit dimensions, не по quantity."
"VAR-FIT-002","maxItemWidth","Максимальная unit width среди items в заказе. Используется для dimensional fit.","Derived value","FIT-001","Pricing Engine","Ready for Formula Sprint","Считать по unit dimensions, не по quantity."
"VAR-FIT-003","maxItemHeight","Максимальная unit height среди items в заказе. Используется для dimensional fit.","Derived value","FIT-001","Pricing Engine","Ready for Formula Sprint","Сравнивать с выбранным vehicleInteriorHeight."
"VAR-FIT-004","vehicleInteriorLength","Внутренняя длина выбранного vehicle/body spec.","Reference field","FIT-001","Operations","Needs Data Source","Берется из Vehicle Body Specs reference."
"VAR-FIT-005","vehicleInteriorWidth","Внутренняя ширина выбранного vehicle/body spec.","Reference field","FIT-001","Operations","Needs Data Source","Берется из Vehicle Body Specs reference."
"VAR-FIT-006","vehicleInteriorHeight","Внутренняя высота выбранного vehicle/body spec.","Reference field","FIT-001","Operations","Needs Data Source","72 in является примером параметра конкретного vehicle, не global threshold."
"VAR-WARN-002","warningSeverity","Severity warning rule: informational, approval, blocking.","Rule set field","WARNING_ENGINE","Product / Operations","Needs Business Approval","Хранить в Warning Rules Reference."
"VAR-WARN-003","managerApprovalRequired","Флаг, что quote требует manager approval из-за blocking/approval warning.","Derived value","WARN-007, quote save logic","Product / Operations","Needs Business Approval","Должен попадать в snapshot и approval trail."
